free_text,hours,workload,sleep,stress,burnout_label
HR | Healthcare | Hybrid | 1,47.0,9.0,7.0,6.0,1
Data Scientist | Healthcare | Hybrid | 2,37.0,7.0,7.0,6.0,0
HR | Finance | Remote | 4,31.0,7.0,3.0,6.0,0
Software Engineer | IT | Hybrid | 2,46.0,10.0,7.0,6.0,1
Marketing | Education | Remote | 4,20.0,9.0,3.0,9.0,1
Designer | Manufacturing | Onsite | 1,51.0,9.0,6.0,9.0,1
Marketing | Finance | Remote | 1,28.0,9.0,7.0,3.0,1
Marketing | Consulting | Onsite | 1,39.0,7.0,6.0,6.0,0
Designer | Consulting | Remote | 2,29.0,10.0,6.0,6.0,1
Designer | Retail | Onsite | 1,30.0,6.0,7.0,9.0,0
Software Engineer | IT | Hybrid | 1,53.0,8.0,3.0,9.0,1
Project Manager | Consulting | Onsite | 3,57.0,9.0,3.0,6.0,1
Marketing | Retail | Onsite | 3,49.0,6.0,7.0,9.0,0
HR | Consulting | Onsite | 2,55.0,7.0,7.0,9.0,1
Marketing | Healthcare | Remote | 1,37.0,6.0,6.0,6.0,0
Data Scientist | Manufacturing | Remote | 1,51.0,9.0,6.0,9.0,1
Project Manager | Consulting | Hybrid | 3,21.0,6.0,6.0,3.0,0
Data Scientist | Education | Hybrid | 4,21.0,8.0,3.0,9.0,1
Software Engineer | Finance | Onsite | 2,44.0,7.0,3.0,9.0,1
HR | Education | Hybrid | 2,26.0,8.0,7.0,9.0,1
Project Manager | Healthcare | Hybrid | 3,43.0,7.0,3.0,9.0,1
Designer | Retail | Hybrid | 5,42.0,7.0,7.0,3.0,0
Designer | Finance | Hybrid | 4,44.0,7.0,3.0,3.0,0
Project Manager | Manufacturing | Onsite | 1,27.0,10.0,3.0,3.0,1
Data Scientist | Education | Hybrid | 2,43.0,10.0,3.0,6.0,1
Designer | Consulting | Remote | 2,38.0,6.0,3.0,9.0,1
Marketing | Healthcare | Hybrid | 4,38.0,7.0,3.0,3.0,0
Data Scientist | Retail | Onsite | 2,57.0,7.0,6.0,6.0,1
Software Engineer | Manufacturing | Onsite | 5,60.0,10.0,7.0,9.0,1
Data Scientist | IT | Onsite | 5,29.0,6.0,3.0,6.0,0
Data Scientist | Education | Remote | 4,54.0,7.0,6.0,9.0,0
Project Manager | Education | Onsite | 4,31.0,6.0,6.0,9.0,0
Project Manager | Manufacturing | Remote | 3,54.0,6.0,7.0,3.0,0
Data Scientist | Healthcare | Hybrid | 5,33.0,10.0,3.0,9.0,1
Designer | IT | Hybrid | 3,25.0,7.0,6.0,3.0,0
Data Scientist | Healthcare | Onsite | 5,21.0,10.0,7.0,3.0,1
Project Manager | IT | Hybrid | 4,45.0,9.0,7.0,6.0,1
Designer | Manufacturing | Onsite | 1,53.0,10.0,3.0,6.0,1
Sales | Consulting | Hybrid | 2,46.0,10.0,3.0,9.0,1
Sales | IT | Hybrid | 4,22.0,7.0,7.0,9.0,0
Software Engineer | Finance | Hybrid | 5,60.0,7.0,7.0,9.0,1
Designer | Education | Hybrid | 3,42.0,7.0,6.0,3.0,0
Data Scientist | Healthcare | Onsite | 3,60.0,8.0,7.0,9.0,1
HR | IT | Onsite | 2,35.0,10.0,7.0,6.0,1
Software Engineer | Healthcare | Hybrid | 5,44.0,9.0,3.0,9.0,1
Software Engineer | Healthcare | Remote | 2,50.0,7.0,3.0,6.0,0
Data Scientist | Finance | Remote | 5,22.0,6.0,7.0,3.0,0
Data Scientist | Education | Hybrid | 5,29.0,8.0,6.0,9.0,1
HR | Finance | Remote | 1,34.0,6.0,7.0,3.0,0
Marketing | Retail | Remote | 5,30.0,10.0,3.0,3.0,1
Data Scientist | Retail | Onsite | 5,53.0,8.0,3.0,3.0,1
Designer | Healthcare | Remote | 3,29.0,9.0,3.0,9.0,1
Marketing | Education | Onsite | 3,27.0,8.0,7.0,6.0,1
Project Manager | Finance | Onsite | 3,44.0,8.0,7.0,6.0,1
Data Scientist | Education | Remote | 3,42.0,9.0,7.0,9.0,1
Data Scientist | Manufacturing | Hybrid | 3,22.0,9.0,6.0,6.0,1
Project Manager | Consulting | Hybrid | 5,34.0,9.0,6.0,6.0,1
Project Manager | Manufacturing | Onsite | 5,51.0,9.0,6.0,9.0,1
Marketing | Retail | Hybrid | 3,48.0,6.0,7.0,9.0,0
Software Engineer | Healthcare | Onsite | 1,30.0,9.0,7.0,9.0,1
Sales | Consulting | Onsite | 5,59.0,9.0,6.0,3.0,1
HR | Manufacturing | Remote | 4,26.0,9.0,6.0,9.0,1
Data Scientist | Finance | Hybrid | 4,60.0,8.0,6.0,3.0,1
Marketing | Retail | Onsite | 1,38.0,9.0,7.0,6.0,1
Project Manager | Finance | Remote | 2,34.0,6.0,6.0,9.0,0
Designer | Consulting | Onsite | 2,46.0,7.0,3.0,6.0,0
Sales | Retail | Hybrid | 3,35.0,8.0,6.0,3.0,1
Designer | Education | Remote | 5,23.0,10.0,7.0,6.0,1
Marketing | Manufacturing | Remote | 4,28.0,6.0,6.0,3.0,0
Marketing | Retail | Onsite | 2,57.0,8.0,7.0,6.0,1
Marketing | Manufacturing | Hybrid | 2,29.0,10.0,7.0,3.0,1
Marketing | Finance | Hybrid | 2,39.0,7.0,3.0,6.0,0
Marketing | IT | Remote | 5,46.0,6.0,7.0,6.0,0
Data Scientist | Healthcare | Remote | 5,26.0,9.0,7.0,9.0,1
Sales | IT | Remote | 5,32.0,7.0,3.0,6.0,0
Data Scientist | Education | Remote | 5,30.0,8.0,3.0,9.0,1
Project Manager | Education | Hybrid | 1,48.0,6.0,6.0,3.0,0
Project Manager | Education | Onsite | 5,44.0,10.0,3.0,9.0,1
Project Manager | Healthcare | Hybrid | 4,49.0,6.0,3.0,3.0,0
Designer | Manufacturing | Hybrid | 1,23.0,6.0,3.0,9.0,1
Designer | Finance | Onsite | 2,33.0,6.0,7.0,3.0,0
HR | Education | Remote | 2,35.0,6.0,6.0,9.0,0
Marketing | Consulting | Remote | 4,41.0,8.0,3.0,6.0,1
Software Engineer | Healthcare | Hybrid | 3,34.0,9.0,6.0,3.0,1
Designer | Finance | Remote | 5,44.0,10.0,6.0,3.0,1
Designer | IT | Onsite | 4,52.0,7.0,7.0,9.0,0
Designer | Consulting | Onsite | 3,57.0,9.0,7.0,3.0,1
Software Engineer | Consulting | Remote | 3,32.0,8.0,6.0,9.0,1
Designer | Consulting | Remote | 4,31.0,7.0,3.0,3.0,0
Software Engineer | Healthcare | Hybrid | 2,58.0,10.0,3.0,6.0,1
Data Scientist | Consulting | Remote | 2,26.0,10.0,3.0,6.0,1
Software Engineer | Consulting | Remote | 4,57.0,10.0,6.0,3.0,1
Project Manager | Healthcare | Onsite | 1,20.0,10.0,7.0,3.0,1
Project Manager | Finance | Hybrid | 2,26.0,7.0,6.0,9.0,0
Data Scientist | Finance | Hybrid | 3,43.0,8.0,7.0,9.0,1
Designer | Manufacturing | Onsite | 3,50.0,8.0,6.0,3.0,1
Software Engineer | Healthcare | Onsite | 3,52.0,6.0,7.0,9.0,0
Marketing | IT | Hybrid | 1,37.0,7.0,6.0,6.0,0
Data Scientist | Education | Hybrid | 1,38.0,8.0,6.0,9.0,1
Designer | Consulting | Hybrid | 2,55.0,10.0,3.0,9.0,1
Data Scientist | Manufacturing | Hybrid | 1,53.0,10.0,6.0,6.0,1
Software Engineer | Healthcare | Onsite | 1,20.0,10.0,7.0,6.0,1
Software Engineer | Manufacturing | Hybrid | 5,46.0,9.0,3.0,3.0,1
Software Engineer | Education | Onsite | 2,30.0,9.0,6.0,3.0,1
Software Engineer | Retail | Remote | 3,50.0,9.0,3.0,9.0,1
HR | Healthcare | Remote | 2,50.0,9.0,6.0,6.0,1
Project Manager | Manufacturing | Hybrid | 3,50.0,10.0,3.0,3.0,1
Designer | Retail | Remote | 3,23.0,10.0,3.0,3.0,1
Data Scientist | Retail | Onsite | 4,45.0,7.0,7.0,6.0,0
Software Engineer | Finance | Hybrid | 3,25.0,10.0,7.0,6.0,1
Designer | Manufacturing | Remote | 4,36.0,9.0,7.0,9.0,1
HR | Education | Onsite | 5,60.0,9.0,7.0,3.0,1
Project Manager | Healthcare | Remote | 4,35.0,8.0,6.0,3.0,1
Marketing | Manufacturing | Hybrid | 4,55.0,8.0,7.0,6.0,1
Project Manager | Finance | Onsite | 2,47.0,10.0,7.0,6.0,1
HR | Healthcare | Hybrid | 4,57.0,7.0,7.0,9.0,1
HR | Education | Hybrid | 1,22.0,9.0,7.0,6.0,1
Data Scientist | IT | Remote | 2,43.0,10.0,3.0,6.0,1
Marketing | Consulting | Remote | 4,45.0,6.0,7.0,3.0,0
Designer | Healthcare | Onsite | 1,56.0,9.0,6.0,3.0,1
Data Scientist | IT | Onsite | 2,46.0,8.0,7.0,9.0,1
HR | Manufacturing | Hybrid | 2,60.0,6.0,7.0,6.0,1
Designer | Consulting | Remote | 1,32.0,10.0,6.0,6.0,1
HR | Manufacturing | Hybrid | 4,59.0,6.0,6.0,6.0,1
Software Engineer | Consulting | Onsite | 5,60.0,6.0,7.0,9.0,1
Data Scientist | IT | Hybrid | 3,43.0,6.0,6.0,9.0,0
Data Scientist | Education | Remote | 2,33.0,10.0,3.0,3.0,1
Data Scientist | Finance | Hybrid | 2,20.0,8.0,6.0,3.0,1
Software Engineer | Retail | Hybrid | 3,27.0,10.0,3.0,6.0,1
Software Engineer | Healthcare | Onsite | 2,43.0,6.0,6.0,6.0,0
Sales | IT | Onsite | 1,23.0,9.0,6.0,6.0,1
Data Scientist | Education | Onsite | 4,29.0,10.0,7.0,6.0,1
Sales | Education | Remote | 4,47.0,9.0,3.0,6.0,1
Designer | Healthcare | Onsite | 5,46.0,10.0,7.0,3.0,1
Marketing | Manufacturing | Hybrid | 4,40.0,10.0,6.0,3.0,1
Project Manager | Retail | Remote | 3,47.0,7.0,3.0,9.0,1
Data Scientist | Finance | Remote | 2,53.0,8.0,6.0,9.0,1
Sales | Education | Hybrid | 1,55.0,7.0,6.0,6.0,1
Sales | Retail | Remote | 3,40.0,9.0,7.0,6.0,1
Project Manager | IT | Hybrid | 1,28.0,6.0,3.0,3.0,0
Sales | Consulting | Hybrid | 1,39.0,8.0,7.0,3.0,1
Software Engineer | IT | Onsite | 2,41.0,6.0,7.0,6.0,0
Data Scientist | Finance | Onsite | 5,21.0,6.0,3.0,3.0,0
Project Manager | IT | Onsite | 5,34.0,8.0,7.0,3.0,1
Designer | Retail | Remote | 2,36.0,8.0,7.0,3.0,1
Marketing | Manufacturing | Remote | 4,32.0,7.0,6.0,9.0,0
Sales | Consulting | Hybrid | 5,21.0,9.0,6.0,6.0,1
Project Manager | Manufacturing | Onsite | 4,56.0,6.0,3.0,9.0,1
Marketing | Manufacturing | Onsite | 4,58.0,7.0,3.0,3.0,1
Software Engineer | Manufacturing | Onsite | 4,35.0,10.0,7.0,9.0,1
Project Manager | Healthcare | Hybrid | 5,52.0,10.0,7.0,3.0,1
Marketing | Consulting | Remote | 4,33.0,10.0,6.0,3.0,1
Software Engineer | Manufacturing | Remote | 4,47.0,9.0,7.0,6.0,1
HR | Education | Onsite | 4,56.0,8.0,3.0,6.0,1
Data Scientist | Education | Onsite | 2,33.0,9.0,6.0,3.0,1
HR | Education | Remote | 4,60.0,8.0,6.0,3.0,1
Sales | Manufacturing | Hybrid | 1,32.0,7.0,7.0,3.0,0
Project Manager | Retail | Hybrid | 5,48.0,6.0,7.0,6.0,0
HR | IT | Hybrid | 5,39.0,7.0,6.0,9.0,0
Software Engineer | Consulting | Onsite | 2,23.0,8.0,7.0,9.0,1
Marketing | Retail | Hybrid | 1,38.0,8.0,6.0,9.0,1
Designer | Manufacturing | Remote | 2,30.0,10.0,6.0,3.0,1
Software Engineer | Retail | Onsite | 1,35.0,10.0,7.0,3.0,1
Data Scientist | Healthcare | Remote | 4,22.0,6.0,6.0,6.0,0
Project Manager | IT | Onsite | 3,28.0,9.0,3.0,6.0,1
Marketing | Consulting | Onsite | 5,57.0,8.0,7.0,6.0,1
HR | Manufacturing | Hybrid | 1,48.0,9.0,7.0,3.0,1
Marketing | Retail | Onsite | 4,45.0,10.0,6.0,6.0,1
Marketing | Healthcare | Onsite | 2,34.0,7.0,3.0,3.0,0
Marketing | Manufacturing | Hybrid | 2,59.0,6.0,3.0,3.0,1
Software Engineer | Consulting | Remote | 2,31.0,8.0,6.0,9.0,1
Marketing | Retail | Onsite | 5,55.0,7.0,3.0,3.0,1
Data Scientist | Finance | Remote | 4,23.0,9.0,6.0,3.0,1
HR | Healthcare | Hybrid | 1,51.0,10.0,6.0,6.0,1
Software Engineer | Manufacturing | Remote | 4,32.0,6.0,6.0,6.0,0
Marketing | IT | Remote | 1,41.0,6.0,7.0,3.0,0
Software Engineer | Manufacturing | Hybrid | 1,46.0,10.0,3.0,3.0,1
HR | Education | Onsite | 2,58.0,7.0,3.0,9.0,1
Sales | Manufacturing | Onsite | 3,59.0,9.0,3.0,9.0,1
Project Manager | Education | Remote | 4,40.0,10.0,7.0,6.0,1
Sales | Retail | Remote | 1,56.0,9.0,3.0,9.0,1
Software Engineer | Finance | Onsite | 3,47.0,9.0,3.0,9.0,1
Project Manager | IT | Hybrid | 3,38.0,9.0,7.0,3.0,1
Data Scientist | Healthcare | Remote | 1,59.0,6.0,6.0,3.0,1
Project Manager | Manufacturing | Onsite | 4,47.0,10.0,3.0,6.0,1
HR | Manufacturing | Remote | 5,49.0,8.0,6.0,6.0,1
Project Manager | Manufacturing | Hybrid | 2,20.0,6.0,3.0,3.0,0
Project Manager | Manufacturing | Hybrid | 2,50.0,10.0,7.0,9.0,1
Project Manager | Education | Hybrid | 1,32.0,7.0,7.0,9.0,0
Sales | IT | Hybrid | 3,23.0,8.0,6.0,3.0,1
HR | IT | Remote | 3,22.0,8.0,6.0,6.0,1
Data Scientist | Education | Hybrid | 2,33.0,6.0,7.0,6.0,0
Project Manager | Education | Hybrid | 5,32.0,8.0,6.0,6.0,1
Marketing | Retail | Onsite | 2,51.0,10.0,6.0,6.0,1
Designer | Healthcare | Hybrid | 3,49.0,8.0,3.0,6.0,1
Data Scientist | Education | Remote | 3,30.0,10.0,6.0,6.0,1
Software Engineer | Education | Remote | 5,25.0,9.0,6.0,6.0,1
Software Engineer | Manufacturing | Onsite | 3,40.0,7.0,3.0,9.0,1
Project Manager | Finance | Onsite | 1,32.0,10.0,7.0,3.0,1
Sales | Education | Onsite | 2,20.0,8.0,6.0,6.0,1
Project Manager | Retail | Hybrid | 5,35.0,6.0,3.0,6.0,0
Sales | Manufacturing | Remote | 5,49.0,10.0,6.0,6.0,1
Sales | Retail | Onsite | 4,34.0,7.0,7.0,6.0,0
Project Manager | Manufacturing | Hybrid | 5,58.0,8.0,6.0,6.0,1
HR | Consulting | Onsite | 3,26.0,7.0,6.0,6.0,0
Marketing | Retail | Onsite | 3,36.0,7.0,3.0,6.0,0
Designer | Education | Hybrid | 4,48.0,7.0,6.0,9.0,0
HR | Finance | Onsite | 5,57.0,7.0,7.0,9.0,1
HR | Finance | Hybrid | 2,32.0,9.0,3.0,6.0,1
Marketing | Healthcare | Remote | 4,55.0,7.0,3.0,6.0,1
Designer | Finance | Hybrid | 2,28.0,8.0,7.0,9.0,1
Sales | Consulting | Onsite | 3,53.0,9.0,3.0,3.0,1
Designer | Finance | Onsite | 4,36.0,7.0,7.0,3.0,0
Sales | Manufacturing | Remote | 1,54.0,7.0,6.0,9.0,0
Marketing | Healthcare | Remote | 5,33.0,8.0,3.0,3.0,1
Designer | Finance | Onsite | 4,39.0,7.0,3.0,6.0,0
Software Engineer | Healthcare | Hybrid | 5,33.0,10.0,7.0,6.0,1
Software Engineer | Education | Hybrid | 1,48.0,10.0,6.0,3.0,1
Designer | Education | Remote | 3,60.0,6.0,6.0,6.0,1
Data Scientist | IT | Remote | 4,24.0,10.0,7.0,6.0,1
Data Scientist | Healthcare | Remote | 3,28.0,6.0,6.0,9.0,0
Project Manager | Manufacturing | Hybrid | 2,20.0,9.0,3.0,3.0,1
Project Manager | Finance | Onsite | 1,28.0,7.0,7.0,6.0,0
HR | Consulting | Remote | 2,48.0,7.0,7.0,6.0,0
Sales | Healthcare | Hybrid | 1,51.0,9.0,7.0,9.0,1
Designer | IT | Hybrid | 2,39.0,7.0,3.0,3.0,0
Marketing | Retail | Remote | 2,25.0,7.0,3.0,6.0,0
Sales | IT | Hybrid | 3,53.0,10.0,6.0,9.0,1
HR | IT | Hybrid | 1,44.0,7.0,6.0,9.0,0
Sales | Education | Hybrid | 3,31.0,8.0,3.0,6.0,1
Designer | Healthcare | Onsite | 3,58.0,6.0,6.0,3.0,1
Marketing | Healthcare | Hybrid | 4,26.0,7.0,6.0,3.0,0
Data Scientist | Consulting | Hybrid | 3,20.0,8.0,7.0,3.0,1
Marketing | IT | Hybrid | 2,28.0,8.0,3.0,3.0,1
Sales | Healthcare | Remote | 5,35.0,6.0,6.0,6.0,0
Marketing | Finance | Remote | 2,30.0,9.0,7.0,3.0,1
Data Scientist | Finance | Hybrid | 2,28.0,10.0,3.0,3.0,1
Designer | Retail | Remote | 3,21.0,8.0,6.0,6.0,1
HR | IT | Remote | 5,56.0,9.0,3.0,6.0,1
Software Engineer | Retail | Hybrid | 2,25.0,8.0,7.0,9.0,1
Software Engineer | Education | Remote | 2,21.0,10.0,6.0,9.0,1
Project Manager | Retail | Remote | 5,50.0,7.0,6.0,6.0,0
Data Scientist | Finance | Onsite | 5,50.0,6.0,7.0,9.0,0
Marketing | Manufacturing | Hybrid | 5,27.0,9.0,6.0,3.0,1
Software Engineer | Consulting | Onsite | 2,31.0,7.0,6.0,6.0,0
Designer | Finance | Hybrid | 4,45.0,8.0,7.0,3.0,1
Sales | Education | Remote | 2,23.0,9.0,3.0,6.0,1
Designer | IT | Onsite | 1,42.0,8.0,7.0,3.0,1
Data Scientist | Finance | Onsite | 4,37.0,10.0,7.0,6.0,1
Sales | IT | Onsite | 1,40.0,6.0,7.0,3.0,0
HR | Retail | Onsite | 5,23.0,8.0,7.0,9.0,1
Marketing | Education | Remote | 4,20.0,8.0,3.0,6.0,1
Designer | Manufacturing | Remote | 5,51.0,6.0,3.0,6.0,0
Marketing | IT | Onsite | 1,46.0,9.0,7.0,3.0,1
HR | Education | Remote | 2,37.0,9.0,3.0,6.0,1
Project Manager | Education | Onsite | 5,42.0,9.0,6.0,3.0,1
HR | Retail | Hybrid | 2,53.0,7.0,7.0,3.0,0
Marketing | Consulting | Hybrid | 3,26.0,9.0,3.0,3.0,1
Marketing | Education | Onsite | 5,48.0,8.0,7.0,6.0,1
Marketing | Education | Onsite | 5,58.0,8.0,3.0,3.0,1
HR | Consulting | Hybrid | 2,52.0,10.0,3.0,6.0,1
Marketing | Finance | Hybrid | 1,52.0,7.0,7.0,9.0,0
Designer | Manufacturing | Onsite | 3,49.0,9.0,3.0,3.0,1
Marketing | Consulting | Hybrid | 4,55.0,9.0,3.0,9.0,1
Designer | Healthcare | Remote | 3,33.0,9.0,6.0,9.0,1
HR | Healthcare | Onsite | 4,24.0,10.0,3.0,9.0,1
Sales | Consulting | Onsite | 5,21.0,6.0,6.0,3.0,0
Software Engineer | Education | Remote | 3,55.0,6.0,7.0,3.0,1
Sales | Education | Remote | 5,44.0,6.0,6.0,6.0,0
Software Engineer | Manufacturing | Onsite | 4,24.0,7.0,7.0,6.0,0
Marketing | IT | Onsite | 4,25.0,9.0,3.0,9.0,1
Designer | Education | Hybrid | 3,40.0,7.0,7.0,9.0,0
Sales | IT | Hybrid | 1,59.0,9.0,3.0,3.0,1
Software Engineer | IT | Onsite | 2,22.0,7.0,3.0,9.0,1
Designer | Consulting | Hybrid | 2,47.0,6.0,3.0,6.0,0
Sales | Finance | Hybrid | 1,31.0,9.0,7.0,3.0,1
Designer | IT | Onsite | 5,41.0,6.0,3.0,9.0,1
Data Scientist | Manufacturing | Remote | 2,52.0,10.0,7.0,9.0,1
HR | Finance | Hybrid | 4,48.0,9.0,7.0,3.0,1
Project Manager | Finance | Onsite | 3,41.0,6.0,3.0,6.0,0
Data Scientist | Finance | Remote | 5,21.0,8.0,6.0,9.0,1
Software Engineer | Healthcare | Hybrid | 4,49.0,9.0,3.0,3.0,1
Software Engineer | Education | Remote | 5,32.0,7.0,7.0,9.0,0
Marketing | Education | Remote | 3,40.0,10.0,6.0,6.0,1
Sales | Finance | Onsite | 3,22.0,7.0,6.0,9.0,0
Project Manager | Consulting | Hybrid | 5,44.0,8.0,7.0,3.0,1
HR | Manufacturing | Onsite | 4,41.0,10.0,7.0,6.0,1
Designer | Manufacturing | Remote | 2,37.0,10.0,6.0,9.0,1
HR | Healthcare | Onsite | 3,54.0,8.0,6.0,6.0,1
Software Engineer | Retail | Onsite | 2,31.0,10.0,7.0,3.0,1
Data Scientist | Consulting | Hybrid | 5,53.0,9.0,6.0,6.0,1
Project Manager | Education | Remote | 3,23.0,6.0,6.0,6.0,0
Sales | Healthcare | Remote | 2,58.0,10.0,7.0,3.0,1
HR | Finance | Remote | 2,26.0,10.0,7.0,3.0,1
Designer | Manufacturing | Remote | 3,46.0,8.0,3.0,6.0,1
Sales | Manufacturing | Remote | 4,20.0,8.0,6.0,6.0,1
HR | Finance | Hybrid | 2,56.0,9.0,7.0,6.0,1
Sales | Retail | Onsite | 5,28.0,10.0,3.0,6.0,1
Sales | Consulting | Hybrid | 5,39.0,10.0,6.0,6.0,1
Designer | Manufacturing | Onsite | 4,22.0,7.0,6.0,6.0,0
Project Manager | IT | Onsite | 2,32.0,8.0,7.0,9.0,1
Project Manager | Consulting | Hybrid | 2,28.0,10.0,3.0,3.0,1
Sales | IT | Hybrid | 2,22.0,7.0,3.0,6.0,0
Marketing | Manufacturing | Onsite | 2,53.0,6.0,3.0,6.0,0
Sales | IT | Hybrid | 1,33.0,9.0,7.0,6.0,1
Data Scientist | Manufacturing | Remote | 2,34.0,10.0,7.0,9.0,1
Software Engineer | Education | Remote | 5,50.0,7.0,7.0,3.0,0
Data Scientist | Healthcare | Onsite | 5,28.0,10.0,6.0,6.0,1
Marketing | Healthcare | Onsite | 4,51.0,7.0,7.0,6.0,0
Software Engineer | Education | Remote | 4,35.0,6.0,7.0,9.0,0
Sales | Healthcare | Remote | 2,39.0,8.0,6.0,6.0,1
Software Engineer | Healthcare | Hybrid | 3,58.0,10.0,3.0,9.0,1
Designer | IT | Hybrid | 2,34.0,8.0,7.0,3.0,1
Designer | IT | Hybrid | 4,48.0,10.0,3.0,6.0,1
Designer | Healthcare | Remote | 5,52.0,6.0,7.0,9.0,0
Designer | Healthcare | Remote | 1,59.0,6.0,7.0,9.0,1
Marketing | Consulting | Remote | 1,32.0,9.0,3.0,9.0,1
Designer | Education | Remote | 2,41.0,8.0,6.0,6.0,1
Project Manager | Education | Remote | 4,34.0,9.0,3.0,6.0,1
HR | Consulting | Hybrid | 2,41.0,8.0,6.0,3.0,1
Sales | Education | Remote | 4,55.0,8.0,3.0,6.0,1
Designer | IT | Remote | 4,50.0,9.0,3.0,9.0,1
Project Manager | Healthcare | Remote | 2,25.0,10.0,6.0,9.0,1
Sales | Consulting | Onsite | 5,21.0,8.0,6.0,6.0,1
Sales | Finance | Hybrid | 3,44.0,6.0,3.0,9.0,1
